model,mean_bias_SST_Sv,rmse_SST_Sv,DL_SST_Sv_century,sim_SST_Sv_century,bias_trend_SST_Sv_per_century,mean_bias_SSH_Sv,rmse_SSH_Sv,DL_SSH_Sv_century,sim_SSH_Sv_century,bias_trend_SSH_Sv_per_century
ACCESS1-0,-0.5363995852041462,0.7640057401817445,0.7207442095365426,1.2802352312638787,-0.5594910217273361,-0.11210007563532391,0.4185136216205272,1.731266985283419,1.2802352312638787,0.4510317540195403
CanESM2,-0.23615992042476625,0.48636753872916016,0.21456515118935293,0.15983804745251765,0.054727103736835286,-0.10942190648536906,0.33586793218528355,0.26022415301704555,0.15983804745251765,0.1003861055645279
FGOALS-s2,0.1028958489920182,1.020694031913585,-4.004795371592216,-2.202053057924357,-1.802742313667859,0.10432802434356477,0.6427426140210015,-2.5378311775021585,-2.202053057924357,-0.33577811957780135
MPI-ESM-LR,-0.17589901253145207,0.4702789115957384,-1.35841696560882,-0.741465169942208,-0.6169517956666121,-0.24908909204468851,0.5428973311590065,-1.3625923678936354,-0.741465169942208,-0.6211271979514273
MPI-ESM-MR,0.0511059692322587,0.46960993294461184,-0.37291043391207296,-0.5941502308217845,0.22123979690971157,0.013798292082596702,0.3207271355467391,-0.7861861800411516,-0.5941502308217845,-0.19203594921936706
MRI-CGCM3,0.11554402636084685,0.42232469692351293,0.4001346859293351,-0.07049033186027662,0.47062501778961174,0.09125866644644147,0.2690449952970468,-0.2746649040695745,-0.07049033186027662,-0.20417457220929788
